n,d,k,rang,z,sigma,runk,Run 1 cost,Run 2 cost,Run 3 cost,Run 4 cost,Run 5 cost,Run 6 cost,Run 7 cost,Run 8 cost,Run 9 cost,Run 10 cost,Average,av prec,max prec,av recall,max recall
10045,2,20,50,25,1,21,19.94,20.22,19.82,18.82,30.44,29.5,20.32,30.2,20.0,20.5,22.976,0.9489177489177489,0.9523809523809523,1.0,1.0
10045,2,20,50,25,1,22,19.94,20.22,19.82,18.82,30.44,29.5,20.32,30.2,20.0,20.5,22.976,0.9052042160737811,0.909090909090909,1.0,1.0
10045,2,20,50,25,1,23,19.94,20.22,19.82,18.82,30.44,29.5,20.32,30.2,20.0,20.5,22.976,0.8673913043478262,0.8695652173913044,1.0,1.0
10045,2,20,50,25,1,24,19.94,20.22,19.82,18.82,30.44,29.5,20.32,30.2,20.0,20.5,22.976,0.8306666666666667,0.8333333333333333,1.0,1.0
10045,2,20,50,25,1,25,19.94,20.22,19.82,18.82,30.44,29.5,20.32,30.2,20.0,20.5,22.976,0.7987692307692307,0.7999999999999999,1.0,1.0
10045,2,20,50,25,1,26,19.94,20.22,19.82,18.82,30.44,29.5,20.32,30.2,20.0,20.5,22.976,0.7669922669922671,0.7692307692307693,1.0,1.0
10045,2,20,50,25,1,27,19.94,20.22,19.82,18.82,30.44,29.5,20.32,30.2,20.0,20.5,22.976,0.739153439153439,0.7407407407407406,1.0,1.0
10045,2,20,50,25,1,28,19.94,20.22,19.82,18.82,30.44,29.5,20.32,30.2,20.0,20.5,22.976,0.7133004926108375,0.7142857142857143,1.0,1.0
10045,2,20,50,25,1,29,19.94,20.22,19.82,18.82,30.44,29.5,20.32,30.2,20.0,20.5,22.976,0.6873859844271414,0.6896551724137933,1.0,1.0
10045,15,20,50,25,1,20,50.5,30.5,30.5,50.5,20.5,20.5,40.5,20.5,20.5,30.5,31.5,0.9890000000000001,1.0,0.9890000000000001,1.0
10045,15,20,50,25,1,21,50.5,30.5,30.5,50.5,20.5,20.5,40.5,20.5,20.5,30.5,31.5,0.9523809523809523,0.9523809523809523,1.0,1.0
10045,15,20,50,25,1,22,50.5,30.5,30.5,50.5,20.5,20.5,40.5,20.5,20.5,30.5,31.5,0.909090909090909,0.909090909090909,1.0,1.0
10045,15,20,50,25,1,23,50.5,30.5,30.5,50.5,20.5,20.5,40.5,20.5,20.5,30.5,31.5,0.8695652173913044,0.8695652173913044,1.0,1.0
10045,15,20,50,25,1,24,50.5,30.5,30.5,50.5,20.5,20.5,40.5,20.5,20.5,30.5,31.5,0.8333333333333333,0.8333333333333333,1.0,1.0
10045,15,20,50,25,1,25,50.5,30.5,30.5,50.5,20.5,20.5,40.5,20.5,20.5,30.5,31.5,0.7999999999999999,0.7999999999999999,1.0,1.0
10045,15,20,50,25,1,26,50.5,30.5,30.5,50.5,20.5,20.5,40.5,20.5,20.5,30.5,31.5,0.7692307692307693,0.7692307692307693,1.0,1.0
10045,15,20,50,25,1,27,50.5,30.5,30.5,50.5,20.5,20.5,40.5,20.5,20.5,30.5,31.5,0.7407407407407406,0.7407407407407406,1.0,1.0
10045,15,20,50,25,1,28,50.5,30.5,30.5,50.5,20.5,20.5,40.5,20.5,20.5,30.5,31.5,0.7142857142857143,0.7142857142857143,1.0,1.0
10045,15,20,50,25,1,29,50.5,30.5,30.5,50.5,20.5,20.5,40.5,20.5,20.5,30.5,31.5,0.6896551724137933,0.6896551724137933,1.0,1.0
10070,2,20,50,50,1,20,53.24,53.7,50.94,61.82,54.58,63.52,74.46,65.22,64.34,53.18,59.499999999999986,0.9785151515151516,0.9952380952380953,0.9870000000000001,1.0
10070,2,20,50,50,1,21,53.24,53.7,50.94,61.82,54.58,63.52,74.46,65.22,64.34,53.18,59.499999999999986,0.9435930735930735,0.9523809523809523,0.998,1.0
10070,2,20,50,50,1,22,53.24,53.7,50.94,61.82,54.58,63.52,74.46,65.22,64.34,53.18,59.499999999999986,0.9027667984189722,0.909090909090909,1.0,1.0
10070,2,20,50,50,1,23,53.24,53.7,50.94,61.82,54.58,63.52,74.46,65.22,64.34,53.18,59.499999999999986,0.8623188405797102,0.8695652173913044,1.0,1.0
10070,2,20,50,50,1,24,53.24,53.7,50.94,61.82,54.58,63.52,74.46,65.22,64.34,53.18,59.499999999999986,0.8239999999999998,0.8299999999999998,1.0,1.0
10070,2,20,50,50,1,25,53.24,53.7,50.94,61.82,54.58,63.52,74.46,65.22,64.34,53.18,59.499999999999986,0.792045584045584,0.7999999999999999,1.0,1.0
10070,2,20,50,50,1,26,53.24,53.7,50.94,61.82,54.58,63.52,74.46,65.22,64.34,53.18,59.499999999999986,0.7606837606837606,0.7663817663817664,1.0,1.0
10070,2,20,50,50,1,27,53.24,53.7,50.94,61.82,54.58,63.52,74.46,65.22,64.34,53.18,59.499999999999986,0.7338624338624338,0.7380952380952379,1.0,1.0
10070,2,20,50,50,1,28,53.24,53.7,50.94,61.82,54.58,63.52,74.46,65.22,64.34,53.18,59.499999999999986,0.710344827586207,0.7142857142857143,1.0,1.0
10070,2,20,50,50,1,29,53.24,53.7,50.94,61.82,54.58,63.52,74.46,65.22,64.34,53.18,59.499999999999986,0.682817945865777,0.6873563218390807,1.0,1.0
10070,15,20,50,50,1,20,65.5,55.5,65.5,45.5,45.5,45.5,65.5,55.5,55.5,75.5,57.5,0.9880000000000001,1.0,0.9880000000000001,1.0
10070,15,20,50,50,1,21,65.5,55.5,65.5,45.5,45.5,45.5,65.5,55.5,55.5,75.5,57.5,0.9523809523809523,0.9523809523809523,1.0,1.0
10070,15,20,50,50,1,22,65.5,55.5,65.5,45.5,45.5,45.5,65.5,55.5,55.5,75.5,57.5,0.909090909090909,0.909090909090909,1.0,1.0
10070,15,20,50,50,1,23,65.5,55.5,65.5,45.5,45.5,45.5,65.5,55.5,55.5,75.5,57.5,0.8695652173913044,0.8695652173913044,1.0,1.0
10070,15,20,50,50,1,24,65.5,55.5,65.5,45.5,45.5,45.5,65.5,55.5,55.5,75.5,57.5,0.8333333333333333,0.8333333333333333,1.0,1.0
10070,15,20,50,50,1,25,65.5,55.5,65.5,45.5,45.5,45.5,65.5,55.5,55.5,75.5,57.5,0.7999999999999999,0.7999999999999999,1.0,1.0
10070,15,20,50,50,1,26,65.5,55.5,65.5,45.5,45.5,45.5,65.5,55.5,55.5,75.5,57.5,0.7692307692307693,0.7692307692307693,1.0,1.0
10070,15,20,50,50,1,27,65.5,55.5,65.5,45.5,45.5,45.5,65.5,55.5,55.5,75.5,57.5,0.7407407407407406,0.7407407407407406,1.0,1.0
10070,15,20,50,50,1,28,65.5,55.5,65.5,45.5,45.5,45.5,65.5,55.5,55.5,75.5,57.5,0.7142857142857143,0.7142857142857143,1.0,1.0
10070,15,20,50,50,1,29,65.5,55.5,65.5,45.5,45.5,45.5,65.5,55.5,55.5,75.5,57.5,0.6896551724137933,0.6896551724137933,1.0,1.0
10120,2,20,50,100,1,20,143.76,127.68,153.14,152.72,126.32,111.96,134.2,154.28,122.92,122.08,134.906,0.9576969696969698,0.9904761904761905,0.9780000000000001,1.0
10120,2,20,50,100,1,21,143.76,127.68,153.14,152.72,126.32,111.96,134.2,154.28,122.92,122.08,134.906,0.9225428194993412,0.9393939393939394,0.9879999999999999,1.0
