n,d,k,rang,z,sigma,runk,Run 1 cost,Run 2 cost,Run 3 cost,Run 4 cost,Run 5 cost,Run 6 cost,Run 7 cost,Run 8 cost,Run 9 cost,Run 10 cost,Average,av prec,max prec,av recall,max recall,prec sd,recall sd
10120,15,20,50,100,5,20,6600.0,7600.0,8600.0,7100.0,7600.0,6600.0,7600.0,6600.0,8100.0,8600.0,7500.0,0.26,0.26,0.26,0.26,0.07348469228349534,0.07348469228349534
10120,15,20,50,100,5,21,7599.0,7099.0,6599.0,6099.0,7099.0,7599.0,8099.0,7099.0,6099.0,7599.0,7099.0,0.2857142857142857,0.2857142857142857,0.3,0.3,0.06023386019368341,0.0632455532033676
10120,15,20,50,100,5,22,6098.0,7598.0,7598.0,8098.0,7098.0,7598.0,8598.0,7098.0,7098.0,7098.0,7398.0,0.24545454545454543,0.24545454545454543,0.26999999999999996,0.26999999999999996,0.05821022034029862,0.0640312423743285
10120,15,20,50,100,5,23,7097.0,7597.0,7097.0,7097.0,6097.0,7097.0,7597.0,7097.0,7597.0,8597.0,7297.0,0.24347826086956523,0.24347826086956523,0.28,0.28,0.05217391304347826,0.060000000000000005
10120,15,20,50,100,5,24,8096.0,7596.0,9596.0,7096.0,6596.0,6096.0,6596.0,8096.0,7096.0,7596.0,7446.0,0.22083333333333335,0.22083333333333335,0.265,0.265,0.07916666666666666,0.095
10120,15,20,50,100,5,25,7095.0,6595.0,6595.0,8595.0,7095.0,8095.0,6595.0,8095.0,7095.0,8095.0,7395.0,0.21600000000000003,0.21600000000000003,0.27,0.27,0.057131427428342804,0.0714142842854285
10120,15,20,50,100,5,26,6594.0,7594.0,5594.0,7094.0,6094.0,6594.0,8094.0,6594.0,7094.0,7594.0,6894.0,0.24615384615384617,0.24615384615384617,0.32,0.32,0.05493406483494499,0.07141428428542851
10120,15,20,50,100,5,27,5593.0,7593.0,6093.0,7093.0,6093.0,6093.0,7093.0,6593.0,7093.0,7593.0,6693.0,0.2518518518518518,0.2518518518518518,0.33999999999999997,0.33999999999999997,0.04913518207933926,0.06633249580710801
10120,15,20,50,100,5,28,7092.0,6592.0,7092.0,6592.0,6092.0,7592.0,6092.0,7092.0,6592.0,7592.0,6842.0,0.23214285714285715,0.23214285714285715,0.32499999999999996,0.32499999999999996,0.03659625273556999,0.051234753829797995
10120,15,20,50,100,5,29,7091.0,7091.0,7091.0,8091.0,6591.0,6091.0,8091.0,8091.0,5591.0,6091.0,6991.0,0.2137931034482759,0.2137931034482759,0.31,0.31,0.05932638115201812,0.08602325267042628
10120,15,20,50,100,5,30,6590.0,7090.0,8090.0,7090.0,7090.0,7590.0,8090.0,6590.0,6590.0,7590.0,7240.0,0.19,0.19,0.28500000000000003,0.28500000000000003,0.036666666666666674,0.054999999999999986
10120,15,20,50,100,5,31,6589.0,8089.0,6589.0,7589.0,6589.0,7589.0,6589.0,6589.0,6089.0,8089.0,7039.0,0.1967741935483871,0.1967741935483871,0.30500000000000005,0.30500000000000005,0.04434750672537909,0.06873863542433759
