n,d,k,rang,z,sigma,Run 1 cost,Run 2 cost,Run 3 cost,Run 4 cost,Run 5 cost,Run 6 cost,Run 7 cost,Run 8 cost,Run 9 cost,Run 10 cost,Average,example1,example2,example3
9990,2,20,50,50,10,861.0993312916057,851.1131632310568,1156.6753267000554,841.2381579366771,975.8884617257273,888.0164235386458,882.9202091862567,884.4107624664056,1008.7423591144141,977.7086187276782,932.7812813918523,0.0,125.6,36507.6
10000,15,10,50,100,5,573.1698627178561,365.51662374573624,807.5907090479379,794.3238678122361,627.0111614972884,944.1969953116813,1046.0612985332277,885.2488542437745,1336.2154191496536,424.0828623705818,780.3417654429974,0.0,178.1,45783.7
9995,15,10,50,25,10,527.4113474062015,488.77349136182767,728.3034766951512,866.1581717745586,517.1586827283982,949.5312774002181,921.5179138277854,1095.3817113027621,838.0437922549397,811.3247494330564,774.3604614184899,0.0,141.8,28912.2
9995,2,10,50,25,1,99.3986480165488,18.19147942132779,53.341357911133194,10.127327788863443,40.3897981920984,39.60260238603432,20.10387121078473,28.52129598855551,39.82856687193295,51.215022904131374,40.07199706914105,0.0,144.9,29391.5
10000,2,10,50,50,1,54.57929473298034,27.62374079091086,20.764213859754722,33.39431868732258,65.63610958325486,31.908388061374126,16.775070263375355,32.43882696045679,23.13001914494792,58.19351333891312,36.444349542329064,0.0,220.2,57553.4
10000,2,20,50,100,10,876.5738450726511,878.4382906046562,892.5215941538618,769.243346930731,864.8741768122964,848.3820881341657,880.6436035218518,839.0118106053553,971.1832353655368,904.124766303732,872.4996757504838,0.0,157.3,34589.9
9985,2,20,50,25,1,28.85467890013099,35.39487608904374,67.99623312312704,43.39502453974311,40.523329636950955,87.07214035476446,54.04351536502988,69.5046739693847,76.23751744981591,38.88923987300099,54.191122930099176,0.0,108.6,18540.8
10000,2,10,50,50,5,240.00972001303666,361.5568897693862,440.71174490047724,264.8407643605484,269.9472841440885,213.71559555839244,325.06510441840277,388.0921994135184,266.70771930850975,181.86044525380422,295.2507467140165,0.0,166.4,33662.6
10000,15,10,50,100,1,127.5941541811351,1.3242394642505073,416.0199874418747,460.2629486495903,1.3087883341743547,231.0424966411175,316.1649785352726,455.61797459294655,620.446040043152,1.321520294811229,263.1103128178325,0.0,128.8,25420.0
9995,2,10,50,25,10,441.64617596348705,743.8233245380925,895.8470570730971,503.13791361235343,823.8319024549628,596.5290027448538,851.8119647140732,695.0139914984459,663.8602559021168,470.5334663105273,668.603505481201,0.0,166.7,35926.7
10000,15,10,50,100,10,920.8555332003895,1665.1939072717764,556.7182156781943,1240.8560857119883,963.2679452184559,620.9942873052044,805.7112448978814,632.7088290324501,707.4286639991603,576.9607763775253,869.0695488693026,0.0,152.7,41488.7
9985,15,20,50,25,5,976.2374202972098,1184.1960050622238,540.4176914823231,1284.2195941426623,1081.890882075525,828.8988752945676,744.4615092163746,683.5674970494654,472.2071173856191,1243.192985176197,903.9289577182168,0.0,184.3,48888.5
10000,15,10,50,50,5,870.3167676073147,329.8805748165624,394.0116144631236,565.48327908049,504.8038179113287,1356.8724692860558,473.02485536487484,648.4096005801202,522.3840851283269,423.0796028159862,608.8266667054183,0.0,152.3,31942.5
10000,15,20,50,100,10,1687.9824619513824,1676.5129302320524,1479.0890100034192,1709.88722089497,1425.4470904183272,1351.8668891618306,1424.1424295482732,1889.688983143963,1516.6723035695566,1616.3238466668165,1577.7613165590592,0.0,189.9,47113.7
9985,2,20,50,25,10,852.5069002915593,769.283150310129,911.4461819871045,877.6021027901309,875.5202052053746,949.7793391141363,911.5551129307507,880.4494689043958,1038.8039056973132,1045.4495970501894,911.2395964281084,0.0,237.1,65688.1
10000,15,20,50,100,1,732.660350118458,539.5352359339685,646.9124754322792,557.875118372254,883.5083734022093,600.398020141514,1076.7707773208492,1374.3579758100273,745.1966463165529,866.1041355003238,802.3319108348436,0.0,138.4,27397.6
10000,15,10,50,50,10,643.9413175032283,668.7175186367547,860.3821742006696,1095.888396022677,682.6910359041258,800.9785342984994,811.045958932574,359.283065121477,618.2197669952724,902.6874433655385,744.3835210980817,0.0,205.2,49095.8
9990,2,20,50,50,1,67.35542471127114,52.73489767369483,78.58826978226088,108.43058975533394,49.606607000372584,97.72208816427212,71.57627731109781,53.16040621693172,52.621257668418544,53.16298542428513,68.49588037079387,0.0,187.9,47430.9
9995,15,10,50,25,5,685.9646908218368,323.4356108148886,401.612890300176,550.5051764183588,652.5661475591779,587.0932813513068,456.8215398812391,576.6936280175247,287.67257314628745,325.966694602645,484.8332232913441,0.0,198.1,45194.5
9990,15,20,50,50,10,1841.2219586898605,1344.4067613427671,1963.4769361271472,1542.0486433744625,1457.6588890405958,1758.852983412211,1818.9322025836882,1976.0738209265917,1879.6422379826893,1910.6958047393082,1749.3010238219322,0.0,151.9,29646.7
10000,2,10,50,100,5,341.9552230383581,353.3096298925662,281.41154763033694,337.1434510445571,245.1460166817395,370.45900189705327,323.82069719096853,174.65013668327538,312.1897229805295,160.44431883092744,290.0529745870312,0.0,141.1,25764.9
10000,15,10,50,50,1,153.82997396514332,1.3270523833987486,246.0065943317606,90.4295930961158,303.6921361097198,280.5247213642322,107.96817385449978,599.255526326426,203.48851892315324,188.0993862803433,217.46216766347928,0.0,192.1,46006.7
9985,15,20,50,25,1,567.8223469508928,202.02263307436428,262.0034134853806,202.49990133746698,123.83441326727663,310.9204938606902,115.87447618857603,215.57112924850682,59.55838836537297,171.4760820784139,223.15832778569413,0.0,174.7,42957.7
