n,d,k,rang,z,sigma,runk,runphi,Run 1 cost,Run 2 cost,Run 3 cost,Run 4 cost,Run 5 cost,Run 6 cost,Run 7 cost,Run 8 cost,Run 9 cost,Run 10 cost,Average,optimal cost,av prec,max prec,av recall,max recall,prec sd,recall sd,cost,cr,cost sd,cr sd
12020,15,20,50,2000,5,15,1.0,1562647.1177030795,1599664.071048352,1613101.6204134943,1595762.8094182808,1526649.8089489278,1619215.1618967059,1557211.3300168242,1490338.5743713782,1704156.5083012732,1701107.081352569,1596985.4083470884,141879.6865299116,0.9987833333333335,0.9994000000000002,0.9987833333333335,0.9994000000000002,1596985.4083470884,0.46333333333333326,0.0004085883557377045,0.0004085883557377045,0.0005385164807134571,64939.41093220642
12020,15,20,50,2000,5,16,1.0,1492822.3188880605,1510527.0085219385,1537071.3583735942,1575943.1361314456,1614123.6546388848,1591512.1347317982,1595467.971794314,1586629.66515295,1575063.6185968898,1702856.556708203,1578201.742353808,141879.6865299116,0.9986666666666666,0.9992500000000002,0.9986666666666666,0.9992500000000002,1578201.742353808,0.45833333333333337,0.000542627353203315,0.000542627353203315,0.0006800735254367666,55634.2509527189
12020,15,20,50,2000,5,17,1.0,1591670.2288487467,1644546.4981120795,1607397.4311841305,1570677.8019268147,1512754.701398961,1545386.5829374052,1516052.8471398912,1490403.137077744,1575049.8438581515,1581517.813510435,1563545.6885994358,141879.6865299116,0.9983166666666667,0.9991,0.9983166666666667,0.9991,1563545.6885994358,0.47833333333333333,0.00040448870331706224,0.00040448870331706224,0.0004358898943540703,45051.28906973603
12020,15,20,50,2000,5,18,1.0,1492505.7334063353,1461828.7718538933,1500183.886886008,1572455.003421848,1534621.4602392295,1574106.6242212038,1505385.771235358,1468367.2650364868,1509377.930562444,1553362.1338330675,1517219.4580695874,141879.6865299116,0.9985333333333333,0.9989500000000001,0.9985333333333333,0.9989500000000001,1517219.4580695874,0.52,0.00029627314724383534,0.00029627314724383534,0.0003499999999999963,38017.63707489731
12020,15,20,50,2000,5,19,1.0,1502420.312261008,1503109.0434793374,1463694.2169088172,1525811.1708581026,1452528.5874418134,1468104.7952378616,1518767.2743066263,1484014.6666654542,1583627.9606695815,1553581.7975685075,1505565.982539711,141879.6865299116,0.9984999999999999,0.9992000000000001,0.9984999999999999,0.9992000000000001,1505565.982539711,0.53,0.0003333333333333243,0.0003333333333333243,0.0003316624790355503,39285.20621510632
12020,15,20,50,2000,5,20,1.0,1431009.9926508702,1529212.962415797,1527995.9508911718,1444198.5906485335,1434185.4002224645,1439533.9084159147,1396014.5190988055,1458359.3406213054,1368241.330312991,1516434.7538019735,1454518.6749079828,141879.6865299116,0.9982833333333334,0.9988999999999999,0.9982833333333334,0.9988999999999999,1454518.6749079828,0.5733333333333335,0.0006282692274990697,0.0006282692274990697,0.0005830951894845457,51952.05695166661
12020,15,20,50,2000,5,21,1.0,1426848.8945905094,1496925.992748019,1511300.8238831386,1501740.2915416944,1437427.6389522438,1467017.138894548,1529473.5933465771,1403831.0094817497,1456780.8364173586,1426740.6380926922,1465808.6857948531,141879.6865299116,0.9982833333333334,0.9988499999999998,0.9982833333333334,0.9988499999999998,1465808.6857948531,0.56,0.00038765677832045675,0.00038765677832045675,0.0004500000000000035,40194.500185041055
12020,15,20,50,2000,5,22,1.0,1426580.4893054354,1466643.9526051804,1441243.4757624392,1414277.7315566428,1374020.5510110932,1385009.0897927633,1495353.077904926,1440593.4872444475,1518967.9777087916,1493617.0969554062,1445630.6929847128,141879.6865299116,0.9984166666666667,0.99915,0.9984166666666667,0.99915,1445630.6929847128,0.585,0.0005387743291748161,0.0005387743291748161,0.0007433034373659144,45594.35898548362
12020,15,20,50,2000,5,23,1.0,1451860.8161187116,1350694.1550398602,1443004.0918342182,1333685.2534936317,1485758.1136890575,1335449.9323834435,1486676.8607288122,1380014.3796996342,1468721.3221872703,1446226.8748030446,1418209.1799977685,141879.6865299116,0.9981,0.99875,0.9981,0.99875,1418209.1799977685,0.605,0.0005587684871413444,0.0005587684871413444,0.0005590169943749604,58604.5035190413
12020,15,20,50,2000,5,24,1.0,1472878.163141284,1440823.2687743118,1344013.8572001175,1485476.9510080751,1427503.6655945757,1412180.9709893086,1421331.1560219086,1386753.1065412571,1427623.2707285339,1432891.7109026257,1425147.6120901997,141879.6865299116,0.9979166666666666,0.9987,0.9979166666666666,0.9987,1425147.6120901997,0.6,0.00040994579587500885,0.00040994579587500885,0.0003999999999999975,38045.67668984752
