n,d,k,rang,z,sigma,runk,runphi,Run 1 cost,Run 2 cost,Run 3 cost,Run 4 cost,Run 5 cost,Run 6 cost,Run 7 cost,Run 8 cost,Run 9 cost,Run 10 cost,Average,optimal cost,av prec,max prec,av recall,max recall,prec sd,recall sd,cost,cr,cost sd,cr sd
12020,15,20,50,2000,10,10,1.0,1183624.507039769,1151275.563184567,1182708.1447821327,1152946.2122072051,1206900.2618920228,1174041.6412477116,1234291.5748562375,1181158.7500177803,1167223.3503573085,1158480.8531705176,1179265.0858755254,283892.26287079364,0.9943200000000001,0.9976,0.9943200000000001,0.9976,1179265.0858755254,0.38499999999999995,0.00208844439715307,0.00208844439715307,0.0016401219466856652,24303.15041976168
12020,15,20,50,2000,10,11,1.0,1094770.4479783908,1149152.5699783715,1133918.4274399995,1108058.55588242,1158549.0442743315,1150894.8725827928,1185304.195202555,1159796.1696305005,1149674.4706952372,1125604.2565904406,1141572.301025504,283892.26287079364,0.9951800000000001,0.9981,0.9951800000000001,0.9981,1141572.301025504,0.41400000000000003,0.001117855088998555,0.001117855088998555,0.0008602325267042661,25238.776760927827
12020,15,20,50,2000,10,12,1.0,1137347.6715756461,1092938.0207007271,1121603.2850168701,1110511.474362254,1127485.5028675639,1102848.8403836463,1139025.6628339658,1131058.1352179393,1113172.6072323844,1089399.3237957873,1116539.0523986784,283892.26287079364,0.9955,0.9986999999999998,0.9955,0.9986999999999998,1116539.0523986784,0.44600000000000006,0.0015329709716756187,0.0015329709716756187,0.0006782329983125324,16803.515696477305
12020,15,20,50,2000,10,13,1.0,1058960.312670604,1067275.128248808,1088102.3204497048,1123253.8570150852,1074987.3047491987,1074193.018971207,1125310.2459363616,1096824.229387243,1082266.4418869554,1073599.5412908127,1086477.2400605981,283892.26287079364,0.9949600000000001,0.9978,0.9949600000000001,0.9978,1086477.2400605981,0.46699999999999997,0.0022544178849539134,0.0022544178849539134,0.0011661903789690592,21360.27156540214
12020,15,20,50,2000,10,14,1.0,1030589.6442088496,1051047.4921660037,1074464.6190345543,1053827.583634624,1104616.3110752264,1042919.0244984608,1114086.953846833,1036945.177872283,1093123.4938748027,1093995.4632236862,1069561.5763435324,283892.26287079364,0.9946100000000001,0.99725,0.9946100000000001,0.99725,1069561.5763435324,0.4860000000000001,0.0023372847494475416,0.0023372847494475416,0.0013647344063956162,28758.23122904631
12020,15,20,50,2000,10,15,1.0,1026707.4916402858,1026850.1917676795,1052243.7813545926,1039210.755297207,1054219.549876383,1027875.0315015087,1045058.1572824034,1032368.6132877732,1065601.7918266472,1056474.7400273783,1042661.0103861857,283892.26287079364,0.9958500000000001,0.9978,0.9958500000000001,0.9978,1042661.0103861857,0.5149999999999999,0.0006375735251717974,0.0006375735251717974,0.0007483314773547711,13376.224590937674
12020,15,20,50,2000,10,16,1.0,1040853.0867181519,994976.6429642027,1020264.1912183864,1000404.5378686957,1010647.5631150815,1005132.7119679628,1008797.9276186582,1061523.3653153707,1040543.0678866238,1017102.2386761152,1020024.5333349251,283892.26287079364,0.9950699999999999,0.9978,0.9950699999999999,0.9978,1020024.5333349251,0.534,0.0011670903992407576,0.0011670903992407576,0.0015198684153570723,20083.97574699519
12020,15,20,50,2000,10,17,1.0,987648.6801629994,997648.1135030652,973309.1348112806,1006121.3150411636,1008497.5868615576,1011513.0685023641,1007840.1926026907,1024956.0609171176,1031209.1668989895,1006573.9836802247,1005531.7302981451,283892.26287079364,0.99423,0.9981499999999999,0.99423,0.9981499999999999,1005531.7302981451,0.5469999999999999,0.0019266810841444527,0.0019266810841444527,0.000838152730712003,15837.3657486483
12020,15,20,50,2000,10,18,1.0,961154.7149075747,973957.8736611523,1020796.4583214025,944087.5264485478,1019763.8420447704,1026690.4812189557,1035603.3612876527,948164.0520111168,1007382.2593552523,930979.6175756134,986858.0186832038,283892.26287079364,0.9951600000000003,0.9978000000000001,0.9951600000000003,0.9978000000000001,986858.0186832038,0.573,0.0013290598180669545,0.0013290598180669545,0.0009797958971132711,37275.45598427733
12020,15,20,50,2000,10,19,1.0,949012.5985438476,933672.619192613,933730.6259110561,976485.7017024722,959634.8353736575,942518.4464533979,983186.7684637116,932783.5005249642,981033.1361485515,923323.2495624557,951538.1481876727,283892.26287079364,0.99609,0.998,0.99609,0.998,951538.1481876727,0.6079999999999999,0.0010848502200764634,0.0010848502200764634,0.0010723805294763618,21050.80036392581
12020,15,20,50,2000,10,20,1.0,901336.571859054,972530.8922359288,948264.811999747,934072.6984054192,938330.6518377427,920100.2519753242,930530.7541340583,964110.4572126276,952974.0364169556,920354.8587653618,938260.5984842221,283892.26287079364,0.9953900000000001,0.9979999999999999,0.9953900000000001,0.9979999999999999,938260.5984842221,0.6220000000000001,0.0010444615837837028,0.0010444615837837028,0.0009999999999999842,20616.32635706582
12020,15,20,50,2000,10,21,1.0,916594.663562005,885268.5113101539,931229.7654816803,908504.1366422602,912045.3991427195,918738.9980104916,930184.5924358759,941331.3495684853,897776.8249088895,910902.9649573856,915257.7206019948,283892.26287079364,0.9959999999999999,0.9982000000000001,0.9959999999999999,0.9982000000000001,915257.7206019948,0.6309999999999999,0.00043588989435407795,0.00043588989435407795,0.000812403840463605,15657.224361634058
12020,15,20,50,2000,10,22,1.0,885516.4413633973,894432.4388006984,910262.3929872569,894830.8527334819,941650.2155249693,945127.3349763474,928147.0282963716,935838.1667834185,934694.4975336613,877517.4388314874,914801.680783109,283892.26287079364,0.9950199999999999,0.9978,0.9950199999999999,0.9978,914801.680783109,0.6589999999999999,0.0012757742747053651,0.0012757742747053651,0.0011445523142259676,23956.064771140962
12020,15,20,50,2000,10,23,1.0,877850.336748943,894976.5837293125,882264.9610524941,849753.1019407961,894695.3761976646,888240.0349972919,905235.488690254,892999.5381733894,894389.1748038747,890437.6459985645,887084.2242332585,283892.26287079364,0.99596,0.9977499999999999,0.99596,0.9977499999999999,887084.2242332585,0.6729999999999998,0.0006575712889109758,0.0006575712889109758,0.0008440971508067023,14327.33268696241
12020,15,20,50,2000,10,24,1.0,857609.7917203676,880994.6000904832,894832.4149275484,874835.3404946199,852402.3215410266,861178.479971976,888706.8089536028,901140.8563688872,887055.5078584239,869454.2857064966,876821.0407633431,283892.26287079364,0.99533,0.9972,0.99533,0.9972,876821.0407633431,0.6829999999999999,0.0007823681997626966,0.0007823681997626966,0.0012489995996796904,15644.632184895432
12020,15,20,50,2000,10,25,1.0,873418.2254351057,823688.988327386,845738.6069281807,872880.3113573712,873981.1036781436,883907.1627504267,859947.7670817294,874301.7756385539,891170.1759718545,877331.8207512635,867636.5937920015,283892.26287079364,0.99504,0.9971500000000001,0.99504,0.9971500000000001,867636.5937920015,0.689,0.0010021975853093663,0.0010021975853093663,0.0009500000000000052,18783.480865604783
12020,15,20,50,2000,10,26,1.0,850024.711578214,854474.0894311734,828563.6455777334,885416.7616902621,870771.4899266425,880332.701033753,851543.4020812378,852203.7925451354,835095.4216413258,862561.5166600926,857098.753216557,283892.26287079364,0.99543,0.99745,0.99543,0.99745,857098.753216557,0.6999999999999998,0.0008989438247187737,0.0008989438247187737,0.0009861541461658094,17229.811108482754
12020,15,20,50,2000,10,27,1.0,829023.8710472954,829486.3124924882,842218.8722870328,835768.8424832778,854262.2904851362,842242.6228886194,836191.4850406714,861324.8043730278,828344.0103826367,850551.3193523487,840941.4430832533,283892.26287079364,0.99512,0.9976499999999999,0.99512,0.9976499999999999,840941.4430832533,0.7169999999999999,0.0010244998779892365,0.0010244998779892365,0.0010965856099730575,10816.019407531863
12020,15,20,50,2000,10,28,1.0,831196.1732185145,796682.4057611352,829656.002640825,825401.4637725523,820076.7028879419,828262.8818523962,840099.7140011797,837973.1550864223,840938.1490410771,850577.0341638352,830086.3682425879,283892.26287079364,0.9955599999999999,0.9978,0.9955599999999999,0.9978,830086.3682425879,0.7489999999999999,0.0005141984052872393,0.0005141984052872393,0.0009000000000000021,13938.45565518097
12020,15,20,50,2000,10,29,1.0,805910.0582101833,822501.9148663143,837761.3573598766,875040.8087046796,827867.0832379436,837859.9297749108,830245.047267715,817006.721357126,820911.4056807032,854659.330087325,832976.3656546777,283892.26287079364,0.9946100000000001,0.9975499999999998,0.9946100000000001,0.9975499999999998,832976.3656546777,0.732,0.00078160092118673,0.00078160092118673,0.0009340770846134643,18875.30249542012
